#---
#profile: tabular-data-package
#name: shedding
#title: Temperature-specific shedding success of Schistosoma mansoni cercaria from
#  Biomphalaria glabrata snails
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: number
#- name: variable
#  type: string
#- name: snail_id
#  type: string
#  levels:
#  - '1'
#  - '10'
#  - '101'
#  - '102'
#  - '103'
#  - '105'
#  - '107'
#  - '108'
#  - '109'
#  - '11'
#  - '110'
#  - '111'
#  - '112'
#  - '113'
#  - '114'
#  - '116'
#  - '117'
#  - '12'
#  - '120'
#  - '121'
#  - '122'
#  - '123'
#  - '125'
#  - '127'
#  - '13'
#  - '130'
#  - '131'
#  - '133'
#  - '134'
#  - '135'
#  - '136'
#  - '138'
#  - '14'
#  - '140'
#  - '142'
#  - '143'
#  - '145'
#  - '146'
#  - '147'
#  - '148'
#  - '150'
#  - '153'
#  - '154'
#  - '155'
#  - '158'
#  - '159'
#  - '16'
#  - '160'
#  - '161'
#  - '162'
#  - '166'
#  - '170'
#  - '173'
#  - '18'
#  - '20'
#  - '21'
#  - '25'
#  - '26'
#  - '28'
#  - '29'
#  - '3'
#  - '31'
#  - '32'
#  - '36'
#  - '38'
#  - '39'
#  - '4'
#  - '42'
#  - '43'
#  - '45'
#  - '47'
#  - '49'
#  - '5'
#  - '52'
#  - '53'
#  - '54'
#  - '55'
#  - '57'
#  - '6'
#  - '60'
#  - '62'
#  - '64'
#  - '65'
#  - '70'
#  - '71'
#  - '72'
#  - '73'
#  - '74'
#  - '75'
#  - '76'
#  - '77'
#  - '78'
#  - '79'
#  - '8'
#  - '80'
#  - '81'
#  - '84'
#  - '85'
#  - '88'
#  - '89'
#  - '9'
#  - '90'
#  - '92'
#  - '94'
#  - '97'
#  - '98'
#  - '99'
#- name: replicate_id
#  type: string
#- name: value
#  type: number
#- name: source
#  type: string
#--- 
temperature,variable,snail_id,replicate_id,value,source
17,cercariae_count_2h,90,Third,444,Nguyen2020
17,cercariae_count_2h,111,Third,0,Nguyen2020
17,cercariae_count_2h,135,Third,0,Nguyen2020
17,cercariae_count_2h,138,Third,0,Nguyen2020
17,cercariae_count_2h,147,Third,404,Nguyen2020
17,cercariae_count_2h,160,Third,0,Nguyen2020
17,cercariae_count_2h,173,Third,928,Nguyen2020
17,cercariae_count_2h,173,Third,928,Nguyen2020
21,cercariae_count_2h,5,Third,552,Nguyen2020
21,cercariae_count_2h,25,Third,0,Nguyen2020
21,cercariae_count_2h,39,Third,0,Nguyen2020
21,cercariae_count_2h,60,Third,788,Nguyen2020
21,cercariae_count_2h,75,Third,280,Nguyen2020
21,cercariae_count_2h,76,Third,0,Nguyen2020
21,cercariae_count_2h,84,Third,504,Nguyen2020
21,cercariae_count_2h,101,Third,984,Nguyen2020
21,cercariae_count_2h,133,Third,0,Nguyen2020
21,cercariae_count_2h,145,Third,136,Nguyen2020
21,cercariae_count_2h,154,Third,288,Nguyen2020
21,cercariae_count_2h,162,Third,420,Nguyen2020
25,cercariae_count_2h,1,Third,0,Nguyen2020
25,cercariae_count_2h,11,Third,1148,Nguyen2020
25,cercariae_count_2h,12,Third,0,Nguyen2020
25,cercariae_count_2h,20,Third,748,Nguyen2020
25,cercariae_count_2h,52,Third,0,Nguyen2020
25,cercariae_count_2h,74,Third,0,Nguyen2020
25,cercariae_count_2h,80,Third,592,Nguyen2020
25,cercariae_count_2h,89,Third,884,Nguyen2020
25,cercariae_count_2h,98,Third,304,Nguyen2020
25,cercariae_count_2h,108,Third,280,Nguyen2020
25,cercariae_count_2h,114,Third,0,Nguyen2020
25,cercariae_count_2h,125,Third,1116,Nguyen2020
29,cercariae_count_2h,3,Third,0,Nguyen2020
29,cercariae_count_2h,8,Third,0,Nguyen2020
29,cercariae_count_2h,47,Third,0,Nguyen2020
29,cercariae_count_2h,64,Third,4,Nguyen2020
29,cercariae_count_2h,65,Third,112,Nguyen2020
29,cercariae_count_2h,85,Third,0,Nguyen2020
29,cercariae_count_2h,110,Third,940,Nguyen2020
29,cercariae_count_2h,117,Third,100,Nguyen2020
29,cercariae_count_2h,120,Third,516,Nguyen2020
29,cercariae_count_2h,131,Third,56,Nguyen2020
